source_row_id,split,bad_credit_risk
uci144-row-0180,development,0
uci144-row-0181,development,1
uci144-row-0182,development,1
uci144-row-0183,test,1
uci144-row-0184,development,0
uci144-row-0185,development,1
uci144-row-0186,development,0
uci144-row-0187,development,1
uci144-row-0188,test,0
uci144-row-0189,development,1
uci144-row-0190,development,0
uci144-row-0191,test,1
uci144-row-0192,development,1
uci144-row-0193,test,1
uci144-row-0194,development,0
uci144-row-0195,test,1
uci144-row-0196,development,1
uci144-row-0197,development,0
uci144-row-0198,development,1
uci144-row-0199,development,0
uci144-row-0200,test,1
uci144-row-0201,development,0
uci144-row-0202,development,0
uci144-row-0203,development,0
uci144-row-0204,development,1
uci144-row-0205,development,0
uci144-row-0206,development,0
uci144-row-0207,development,0
uci144-row-0208,development,0
uci144-row-0209,development,0
uci144-row-0210,development,0
uci144-row-0211,development,0
uci144-row-0212,development,0
uci144-row-0213,development,1
uci144-row-0214,development,1
uci144-row-0215,development,0
uci144-row-0216,development,0
uci144-row-0217,test,0
uci144-row-0218,development,0
uci144-row-0219,development,0
uci144-row-0220,test,0
uci144-row-0221,test,0
uci144-row-0222,test,0
uci144-row-0223,development,0
uci144-row-0224,development,0
uci144-row-0225,development,0
uci144-row-0226,development,0
uci144-row-0227,development,1
uci144-row-0228,development,1
uci144-row-0229,test,1
uci144-row-0230,test,0
uci144-row-0231,development,1
uci144-row-0232,development,0
uci144-row-0233,development,0
uci144-row-0234,development,0
uci144-row-0235,test,0
uci144-row-0236,test,1
uci144-row-0237,test,1
uci144-row-0238,development,1
uci144-row-0239,development,0
uci144-row-0240,development,0
uci144-row-0241,development,1
uci144-row-0242,development,0
uci144-row-0243,development,1
uci144-row-0244,development,0
uci144-row-0245,development,0
uci144-row-0246,development,0
uci144-row-0247,development,0
uci144-row-0248,development,0
uci144-row-0249,development,0
uci144-row-0250,development,1
uci144-row-0251,development,0
uci144-row-0252,development,0
uci144-row-0253,development,1
uci144-row-0254,development,0
uci144-row-0255,development,0
uci144-row-0256,development,0
uci144-row-0257,development,0
uci144-row-0258,test,1
uci144-row-0259,development,0
uci144-row-0260,test,0
uci144-row-0261,development,0
uci144-row-0262,test,0
uci144-row-0263,development,0
uci144-row-0264,test,0
uci144-row-0265,development,0
uci144-row-0266,development,1
uci144-row-0267,development,0
uci144-row-0268,development,0
uci144-row-0269,development,1
uci144-row-0270,development,0
uci144-row-0271,development,0
uci144-row-0272,development,0
uci144-row-0273,development,0
uci144-row-0274,test,1
uci144-row-0275,development,1
uci144-row-0276,development,0
uci144-row-0277,test,0
uci144-row-0278,test,0
uci144-row-0279,development,1
uci144-row-0280,development,0
uci144-row-0281,development,0
uci144-row-0282,development,0
uci144-row-0283,test,0
uci144-row-0284,test,0
uci144-row-0285,development,0
uci144-row-0286,development,0
uci144-row-0287,development,0
uci144-row-0288,development,0
uci144-row-0289,development,0
uci144-row-0290,test,1
uci144-row-0291,development,0
uci144-row-0292,development,1
uci144-row-0293,development,0
uci144-row-0294,test,0
uci144-row-0295,development,0
uci144-row-0296,development,1
uci144-row-0297,test,0
uci144-row-0298,test,0
uci144-row-0299,development,0
uci144-row-0300,development,0
uci144-row-0301,development,0
uci144-row-0302,development,1
uci144-row-0303,development,1
uci144-row-0304,development,0
uci144-row-0305,test,1
uci144-row-0306,development,0
uci144-row-0307,development,0
uci144-row-0308,development,1
uci144-row-0309,test,1
uci144-row-0310,development,0
uci144-row-0311,development,0
uci144-row-0312,development,0
uci144-row-0313,development,0
uci144-row-0314,development,1
uci144-row-0315,development,0
uci144-row-0316,development,1
uci144-row-0317,development,0
uci144-row-0318,test,0
uci144-row-0319,development,0
uci144-row-0320,development,0
uci144-row-0321,development,1
uci144-row-0322,development,1
uci144-row-0323,development,0
uci144-row-0324,development,0
uci144-row-0325,development,0
uci144-row-0326,development,0
uci144-row-0327,development,0
uci144-row-0328,development,0
uci144-row-0329,development,0
uci144-row-0330,test,0
uci144-row-0331,test,0
uci144-row-0332,development,1
uci144-row-0333,development,1
uci144-row-0334,development,1
uci144-row-0335,development,1
uci144-row-0336,development,1
uci144-row-0337,test,0
uci144-row-0338,test,1
uci144-row-0339,test,0
uci144-row-0340,development,0
uci144-row-0341,development,0
uci144-row-0342,development,0
uci144-row-0343,development,0
uci144-row-0344,development,0
uci144-row-0345,development,0
uci144-row-0346,development,0
uci144-row-0347,test,0
uci144-row-0348,test,0
uci144-row-0349,development,0
uci144-row-0350,development,1
uci144-row-0351,development,0
uci144-row-0352,development,1
uci144-row-0353,development,0
uci144-row-0354,test,1
uci144-row-0355,development,0
uci144-row-0356,test,1
uci144-row-0357,development,0
uci144-row-0358,development,1
uci144-row-0359,development,0
uci144-row-0360,development,1
uci144-row-0361,development,0
uci144-row-0362,development,0
uci144-row-0363,development,0
uci144-row-0364,development,0
uci144-row-0365,development,1
uci144-row-0366,development,0
uci144-row-0367,development,0
uci144-row-0368,development,0
uci144-row-0369,development,1
uci144-row-0370,development,0
uci144-row-0371,development,0
uci144-row-0372,development,0
uci144-row-0373,test,0
uci144-row-0374,test,0
uci144-row-0375,development,1
uci144-row-0376,test,1
uci144-row-0377,development,0
uci144-row-0378,development,0
uci144-row-0379,development,1
uci144-row-0380,test,0
uci144-row-0381,development,0
uci144-row-0382,development,1
uci144-row-0383,development,0
uci144-row-0384,test,0
uci144-row-0385,development,0
uci144-row-0386,development,0
uci144-row-0387,development,0
uci144-row-0388,development,0
uci144-row-0389,development,0
uci144-row-0390,development,0
uci144-row-0391,development,0
uci144-row-0392,development,0
uci144-row-0393,development,0
uci144-row-0394,development,0
uci144-row-0395,development,0
uci144-row-0396,test,0
uci144-row-0397,development,0
uci144-row-0398,development,0
uci144-row-0399,development,1
uci144-row-0400,development,0
uci144-row-0401,development,0
uci144-row-0402,development,0
uci144-row-0403,development,1
uci144-row-0404,development,0
uci144-row-0405,test,0
uci144-row-0406,development,1
uci144-row-0407,development,0
uci144-row-0408,development,0
uci144-row-0409,development,0
uci144-row-0410,development,1
uci144-row-0411,development,0
uci144-row-0412,development,0
uci144-row-0413,test,1
uci144-row-0414,development,0
uci144-row-0415,development,1
uci144-row-0416,development,0
uci144-row-0417,development,1
uci144-row-0418,development,0
uci144-row-0419,development,0
uci144-row-0420,development,1
uci144-row-0421,development,0
uci144-row-0422,development,0
uci144-row-0423,development,0
uci144-row-0424,test,0
uci144-row-0425,development,1
uci144-row-0426,development,0
uci144-row-0427,development,0
uci144-row-0428,development,0
uci144-row-0429,development,0
uci144-row-0430,development,1
uci144-row-0431,test,0
uci144-row-0432,test,1
uci144-row-0433,development,0
uci144-row-0434,test,0
uci144-row-0435,development,0
uci144-row-0436,test,1
uci144-row-0437,development,0
uci144-row-0438,development,0
uci144-row-0439,development,0
uci144-row-0440,development,1
uci144-row-0441,development,0
uci144-row-0442,development,0
uci144-row-0443,development,0
uci144-row-0444,development,1
uci144-row-0445,development,1
uci144-row-0446,development,0
uci144-row-0447,development,1
uci144-row-0448,development,0
uci144-row-0449,development,0
uci144-row-0450,development,1
uci144-row-0451,development,0
uci144-row-0452,development,0
uci144-row-0453,development,0
uci144-row-0454,development,0
uci144-row-0455,development,1
uci144-row-0456,test,0
uci144-row-0457,development,0
uci144-row-0458,development,1
uci144-row-0459,development,0
uci144-row-0460,development,0
uci144-row-0461,development,0
uci144-row-0462,development,0
uci144-row-0463,development,0
uci144-row-0464,test,0
uci144-row-0465,development,0
uci144-row-0466,test,0
uci144-row-0467,development,1
uci144-row-0468,development,0
uci144-row-0469,development,0
uci144-row-0470,development,0
uci144-row-0471,development,1
uci144-row-0472,development,1
uci144-row-0473,development,1
uci144-row-0474,test,0
uci144-row-0475,development,1
uci144-row-0476,development,1
uci144-row-0477,development,0
uci144-row-0478,test,0
uci144-row-0479,development,0
uci144-row-0480,development,0
uci144-row-0481,development,0
uci144-row-0482,development,0
uci144-row-0483,development,0
uci144-row-0484,development,0
uci144-row-0485,development,0
uci144-row-0486,test,1
uci144-row-0487,development,0
uci144-row-0488,development,0
uci144-row-0489,development,0
uci144-row-0490,development,0
uci144-row-0491,development,0
uci144-row-0492,development,1
uci144-row-0493,development,0
uci144-row-0494,development,0
uci144-row-0495,development,0
uci144-row-0496,development,1
uci144-row-0497,development,1
uci144-row-0498,development,0
uci144-row-0499,development,0
uci144-row-0500,development,0
uci144-row-0501,development,1
uci144-row-0502,development,0
uci144-row-0503,development,0
uci144-row-0504,development,1
uci144-row-0505,development,1
uci144-row-0506,development,1
uci144-row-0507,test,0
uci144-row-0508,development,1
uci144-row-0509,development,0
uci144-row-0510,development,0
uci144-row-0511,test,1
uci144-row-0512,development,0
uci144-row-0513,development,0
uci144-row-0514,development,0
uci144-row-0515,test,0
uci144-row-0516,development,0
uci144-row-0517,development,0
uci144-row-0518,development,1
uci144-row-0519,development,0
uci144-row-0520,development,0
uci144-row-0521,development,0
uci144-row-0522,development,1
uci144-row-0523,test,1
uci144-row-0524,test,0
uci144-row-0525,test,0
uci144-row-0526,development,0
uci144-row-0527,development,0
uci144-row-0528,development,0
uci144-row-0529,test,1
uci144-row-0530,development,0
uci144-row-0531,development,0
uci144-row-0532,development,1
uci144-row-0533,test,0
uci144-row-0534,development,0
uci144-row-0535,test,0
uci144-row-0536,development,1
uci144-row-0537,development,0
uci144-row-0538,test,0
uci144-row-0539,development,1
uci144-row-0540,development,0
uci144-row-0541,development,1
uci144-row-0542,test,0
uci144-row-0543,test,1
uci144-row-0544,development,1
uci144-row-0545,test,0
uci144-row-0546,development,1
uci144-row-0547,development,0
uci144-row-0548,development,0
uci144-row-0549,test,1
uci144-row-0550,development,0
uci144-row-0551,development,0
uci144-row-0552,test,0
uci144-row-0553,development,1
uci144-row-0554,development,0
uci144-row-0555,development,0
uci144-row-0556,development,1
uci144-row-0557,development,1
uci144-row-0558,development,1
uci144-row-0559,development,1
uci144-row-0560,development,1
uci144-row-0561,development,0
uci144-row-0562,development,1
uci144-row-0563,test,0
uci144-row-0564,test,1
uci144-row-0565,development,0
uci144-row-0566,development,0
uci144-row-0567,development,1
uci144-row-0568,development,0
uci144-row-0569,development,0
uci144-row-0570,development,1
uci144-row-0571,test,1
uci144-row-0572,test,0
uci144-row-0573,development,0
uci144-row-0574,development,0
uci144-row-0575,development,0
uci144-row-0576,development,0
uci144-row-0577,development,0
uci144-row-0578,development,0
uci144-row-0579,development,1
uci144-row-0580,test,0
uci144-row-0581,development,1
uci144-row-0582,development,0
uci144-row-0583,development,0
uci144-row-0584,development,1
uci144-row-0585,development,0
uci144-row-0586,development,1
uci144-row-0587,development,0
uci144-row-0588,test,0
uci144-row-0589,development,1
uci144-row-0590,development,1
uci144-row-0591,development,0
uci144-row-0592,development,0
uci144-row-0593,development,0
uci144-row-0594,development,1
uci144-row-0595,test,1
uci144-row-0596,development,1
uci144-row-0597,development,1
uci144-row-0598,development,1
uci144-row-0599,test,1
uci144-row-0600,development,0
uci144-row-0601,development,0
uci144-row-0602,development,1
uci144-row-0603,development,1
uci144-row-0604,development,1
uci144-row-0605,development,0
uci144-row-0606,development,0
uci144-row-0607,development,0
uci144-row-0608,development,1
uci144-row-0609,test,0
uci144-row-0610,development,0
uci144-row-0611,development,1
uci144-row-0612,development,1
uci144-row-0613,development,0
uci144-row-0614,development,0
uci144-row-0615,development,1
uci144-row-0616,development,0
uci144-row-0617,development,0
uci144-row-0618,development,0
uci144-row-0619,development,1
uci144-row-0620,development,0
uci144-row-0621,test,0
uci144-row-0622,development,1
uci144-row-0623,development,1
uci144-row-0624,development,0
uci144-row-0625,development,1
uci144-row-0626,development,0
uci144-row-0627,development,0
uci144-row-0628,development,1
uci144-row-0629,development,0
uci144-row-0630,development,0
uci144-row-0631,development,0
uci144-row-0632,development,1
uci144-row-0633,development,0
uci144-row-0634,development,1
uci144-row-0635,development,1
uci144-row-0636,development,0
uci144-row-0637,development,0
uci144-row-0638,development,0
uci144-row-0639,development,0
uci144-row-0640,development,1
uci144-row-0641,development,1
uci144-row-0642,development,0
uci144-row-0643,development,1
uci144-row-0644,development,0
uci144-row-0645,development,0
uci144-row-0646,development,1
uci144-row-0647,development,0
uci144-row-0648,test,1
uci144-row-0649,development,1
uci144-row-0650,development,1
uci144-row-0651,development,0
uci144-row-0652,development,1
uci144-row-0653,development,1
uci144-row-0654,test,1
uci144-row-0655,development,0
uci144-row-0656,development,0
uci144-row-0657,development,1
uci144-row-0658,test,0
uci144-row-0659,test,0
uci144-row-0660,development,0
uci144-row-0661,development,0
uci144-row-0662,development,1
uci144-row-0663,test,0
uci144-row-0664,test,0
uci144-row-0665,test,0
uci144-row-0666,test,0
uci144-row-0667,development,0
uci144-row-0668,development,0
uci144-row-0669,test,1
uci144-row-0670,development,0
uci144-row-0671,development,0
uci144-row-0672,test,0
uci144-row-0673,development,0
uci144-row-0674,development,0
uci144-row-0675,development,1
uci144-row-0676,development,0
uci144-row-0677,development,0
uci144-row-0678,test,1
uci144-row-0679,test,0
uci144-row-0680,development,0
uci144-row-0681,development,0
uci144-row-0682,test,0
uci144-row-0683,test,0
uci144-row-0684,test,0
uci144-row-0685,development,0
uci144-row-0686,development,0
uci144-row-0687,development,0
uci144-row-0688,development,0
uci144-row-0689,development,0
uci144-row-0690,development,0
uci144-row-0691,development,0
uci144-row-0692,test,0
uci144-row-0693,development,0
uci144-row-0694,development,0
uci144-row-0695,development,0
uci144-row-0696,development,0
uci144-row-0697,test,0
uci144-row-0698,development,0
uci144-row-0699,test,0
uci144-row-0700,test,0
uci144-row-0701,development,1
uci144-row-0702,development,1
uci144-row-0703,development,0
uci144-row-0704,development,0
uci144-row-0705,development,0
uci144-row-0706,development,0
uci144-row-0707,development,1
uci144-row-0708,development,1
uci144-row-0709,development,0
uci144-row-0710,test,0
uci144-row-0711,development,0
uci144-row-0712,development,1
uci144-row-0713,development,0
uci144-row-0714,development,0
uci144-row-0715,development,1
uci144-row-0716,test,0
uci144-row-0717,development,0
uci144-row-0718,test,0
uci144-row-0719,development,0
uci144-row-0720,development,0
uci144-row-0721,development,1
uci144-row-0722,development,1
uci144-row-0723,development,1
uci144-row-0724,development,0
uci144-row-0725,test,1
uci144-row-0726,test,0
uci144-row-0727,development,0
uci144-row-0728,development,1
uci144-row-0729,development,1
uci144-row-0730,test,0
uci144-row-0731,development,0
uci144-row-0732,development,1
uci144-row-0733,development,0
uci144-row-0734,development,0
uci144-row-0735,development,0
uci144-row-0736,development,0
uci144-row-0737,development,1
uci144-row-0738,development,0
uci144-row-0739,development,0
uci144-row-0740,test,1
uci144-row-0741,development,0
uci144-row-0742,development,0
uci144-row-0743,test,0
uci144-row-0744,development,0
uci144-row-0745,development,0
uci144-row-0746,development,0
uci144-row-0747,test,0
uci144-row-0748,development,1
uci144-row-0749,development,0
uci144-row-0750,development,0
uci144-row-0751,development,0
uci144-row-0752,test,1
uci144-row-0753,development,0
uci144-row-0754,development,0
uci144-row-0755,development,1
uci144-row-0756,development,1
uci144-row-0757,development,0
uci144-row-0758,development,1
uci144-row-0759,development,0
uci144-row-0760,development,1
uci144-row-0761,development,0
uci144-row-0762,test,1
uci144-row-0763,development,0
uci144-row-0764,development,1
uci144-row-0765,development,0
uci144-row-0766,development,0
uci144-row-0767,development,1
uci144-row-0768,development,0
uci144-row-0769,development,0
uci144-row-0770,development,0
uci144-row-0771,development,0
uci144-row-0772,development,1
uci144-row-0773,test,0
uci144-row-0774,development,0
uci144-row-0775,development,0
uci144-row-0776,development,1
uci144-row-0777,development,0
uci144-row-0778,development,0
uci144-row-0779,development,0
uci144-row-0780,test,0
uci144-row-0781,development,1
uci144-row-0782,development,0
uci144-row-0783,development,0
uci144-row-0784,development,1
uci144-row-0785,development,0
uci144-row-0786,development,0
uci144-row-0787,development,0
uci144-row-0788,development,0
uci144-row-0789,test,1
uci144-row-0790,development,1
uci144-row-0791,development,1
uci144-row-0792,test,0
uci144-row-0793,development,0
uci144-row-0794,test,0
uci144-row-0795,test,0
uci144-row-0796,development,0
uci144-row-0797,test,1
uci144-row-0798,development,0
uci144-row-0799,development,0
uci144-row-0800,test,0
uci144-row-0801,test,0
uci144-row-0802,test,0
uci144-row-0803,test,0
uci144-row-0804,test,0
uci144-row-0805,test,0
uci144-row-0806,development,1
uci144-row-0807,test,0
uci144-row-0808,development,0
uci144-row-0809,development,0
uci144-row-0810,development,1
uci144-row-0811,development,0
uci144-row-0812,development,0
uci144-row-0813,development,1
uci144-row-0814,development,1
uci144-row-0815,development,1
uci144-row-0816,development,0
uci144-row-0817,development,0
uci144-row-0818,test,0
uci144-row-0819,test,0
uci144-row-0820,development,1
uci144-row-0821,development,0
uci144-row-0822,development,0
uci144-row-0823,development,1
uci144-row-0824,development,0
uci144-row-0825,development,0
uci144-row-0826,development,0
uci144-row-0827,development,1
uci144-row-0828,development,1
uci144-row-0829,development,1
uci144-row-0830,development,0
uci144-row-0831,development,0
uci144-row-0832,test,1
uci144-row-0833,test,1
uci144-row-0834,development,0
uci144-row-0835,development,1
uci144-row-0836,development,1
uci144-row-0837,development,0
uci144-row-0838,development,0
uci144-row-0839,development,0
uci144-row-0840,development,0
uci144-row-0841,test,1
uci144-row-0842,development,0
uci144-row-0843,development,1
uci144-row-0844,development,0
uci144-row-0845,test,0
uci144-row-0846,test,0
uci144-row-0847,development,1
uci144-row-0848,development,0
uci144-row-0849,test,0
uci144-row-0850,development,1
uci144-row-0851,development,1
uci144-row-0852,development,0
uci144-row-0853,development,0
uci144-row-0854,test,1
uci144-row-0855,test,0
uci144-row-0856,development,0
uci144-row-0857,test,0
uci144-row-0858,development,0
uci144-row-0859,test,1
uci144-row-0860,development,0
uci144-row-0861,test,0
uci144-row-0862,development,1
uci144-row-0863,development,1
uci144-row-0864,development,0
uci144-row-0865,development,1
uci144-row-0866,development,0
uci144-row-0867,development,0
uci144-row-0868,development,0
uci144-row-0869,development,0
uci144-row-0870,development,0
uci144-row-0871,development,0
uci144-row-0872,development,0
uci144-row-0873,development,0
uci144-row-0874,development,0
uci144-row-0875,development,0
uci144-row-0876,test,0
uci144-row-0877,development,0
uci144-row-0878,test,0
uci144-row-0879,development,1
uci144-row-0880,development,0
uci144-row-0881,development,0
uci144-row-0882,development,0
uci144-row-0883,development,0
uci144-row-0884,development,0
uci144-row-0885,development,1
uci144-row-0886,development,1
uci144-row-0887,development,0
uci144-row-0888,test,1
uci144-row-0889,development,0
uci144-row-0890,development,0
uci144-row-0891,test,0
uci144-row-0892,development,0
uci144-row-0893,development,0
uci144-row-0894,development,0
uci144-row-0895,development,0
uci144-row-0896,development,0
uci144-row-0897,development,0
uci144-row-0898,development,0
uci144-row-0899,development,0
uci144-row-0900,development,1
uci144-row-0901,development,1
uci144-row-0902,development,0
uci144-row-0903,development,0
uci144-row-0904,development,0
uci144-row-0905,development,0
uci144-row-0906,development,0
uci144-row-0907,development,0
uci144-row-0908,development,0
uci144-row-0909,development,0
uci144-row-0910,development,0
uci144-row-0911,development,0
uci144-row-0912,development,1
uci144-row-0913,development,0
uci144-row-0914,development,0
uci144-row-0915,development,1
uci144-row-0916,test,1
uci144-row-0917,development,0
uci144-row-0918,test,1
uci144-row-0919,development,1
uci144-row-0920,development,1
uci144-row-0921,development,0
uci144-row-0922,test,0
uci144-row-0923,development,1
uci144-row-0924,development,0
uci144-row-0925,development,1
uci144-row-0926,development,1
uci144-row-0927,development,0
uci144-row-0928,development,1
uci144-row-0929,development,0
uci144-row-0930,development,0
uci144-row-0931,development,0
uci144-row-0932,test,1
uci144-row-0933,development,0
uci144-row-0934,test,0
uci144-row-0935,development,0
uci144-row-0936,development,1
uci144-row-0937,test,1
uci144-row-0938,development,0
uci144-row-0939,test,1
uci144-row-0940,development,0
uci144-row-0941,development,0
uci144-row-0942,test,0
uci144-row-0943,development,0
uci144-row-0944,development,0
uci144-row-0945,test,0
uci144-row-0946,development,0
uci144-row-0947,development,1
uci144-row-0948,test,0
uci144-row-0949,development,1
uci144-row-0950,development,1
uci144-row-0951,development,0
uci144-row-0952,development,1
uci144-row-0953,development,1
uci144-row-0954,test,1
uci144-row-0955,development,0
uci144-row-0956,development,0
uci144-row-0957,development,0
uci144-row-0958,development,0
uci144-row-0959,development,1
uci144-row-0960,development,0
uci144-row-0961,development,0
uci144-row-0962,development,0
uci144-row-0963,development,0
uci144-row-0964,development,1
uci144-row-0965,development,0
uci144-row-0966,development,0
uci144-row-0967,test,1
uci144-row-0968,development,0
uci144-row-0969,development,0
uci144-row-0970,development,0
uci144-row-0971,development,0
uci144-row-0972,development,0
uci144-row-0973,development,1
uci144-row-0974,development,1
uci144-row-0975,test,0
uci144-row-0976,development,0
uci144-row-0977,development,0
uci144-row-0978,test,0
uci144-row-0979,development,1
uci144-row-0980,development,1
uci144-row-0981,development,1
uci144-row-0982,development,1
uci144-row-0983,development,0
uci144-row-0984,development,1
uci144-row-0985,development,0
uci144-row-0986,development,0
uci144-row-0987,development,0
uci144-row-0988,development,0
uci144-row-0989,development,0
uci144-row-0990,development,0
uci144-row-0991,development,0
uci144-row-0992,development,0
uci144-row-0993,test,0
uci144-row-0994,test,0
uci144-row-0995,development,0
uci144-row-0996,development,0
uci144-row-0997,test,0
uci144-row-0998,development,0
uci144-row-0999,test,1
uci144-row-1000,development,0
